product_num,product_category,product_name,product_price,product_rom,product_ram,product_color,produc_url,img_url,brand,product_new,product_overview
961,iPhone ,7 Plus  ,3.250.000 đ ,,128GB,,https://galaxydidong.vn/san-pham/iphone-7-plus-128g-quoc-te-dep-95-99/,https://galaxydidong.vn/wp-content/uploads/2019/12/iphone-7-plus-galaxydidong-1.webp,galaxydidong,99%,
962,iPhone ,13,20.750.000 đ ,,256GB,Hồng,https://galaxydidong.vn/san-pham/iphone-13-256gb-quoc-te-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-select-2021.webp,galaxydidong,,
963,iPhone ,13,20.450.000 đ ,,256GB,Trắng,https://galaxydidong.vn/san-pham/iphone-13-256gb-quoc-te-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-midnight-select-2021-8226.webp,galaxydidong,,
964,iPhone ,13 Pro Max  ,24.950.000 đ ,,128GB,Xanh lá,https://galaxydidong.vn/san-pham/iphone-13-pro-max-128gb-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/video-mo-hop-iphone13.webp,galaxydidong,,
965,iPhone ,13 Pro Max  ,24.250.000 đ ,,128GB,Đen,https://galaxydidong.vn/san-pham/iphone-13-pro-max-128gb-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/sieu-pham-mua-thu-2021-iphone-13-pro-max-co-tinh-nang-noi-bat-nao-10.webp,galaxydidong,,
966,iPhone ,13 Pro Max  ,24.950.000 đ ,,128GB,Trắng,https://galaxydidong.vn/san-pham/iphone-13-pro-max-128gb-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/ngam-mau-iphone-13-pro-voi-man-hinh-120hz-dep-long-lanh-1.webp,galaxydidong,,
967,iPhone ,13 Pro Max  ,24.950.000 đ ,,128GB,Vàng,https://galaxydidong.vn/san-pham/iphone-13-pro-max-128gb-moi/,https://galaxydidong.vn/wp-content/uploads/2021/10/images3079320_1926_cthc.webp,galaxydidong,,
968,iPhone ,13,15.450.000 đ ,,512GB,Xanh lá,https://galaxydidong.vn/san-pham/iphone-13-512gb-quoc-te-likenew-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/render-iPhone-13-1.webp,galaxydidong,99%,
969,iPhone ,13,15.450.000 đ ,,512GB,Đen,https://galaxydidong.vn/san-pham/iphone-13-512gb-quoc-te-likenew-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/maxresdefault-8866-1632966768.webp,galaxydidong,99%,
970,iPhone ,13,15.150.000 đ ,,512GB,Đỏ,https://galaxydidong.vn/san-pham/iphone-13-512gb-quoc-te-likenew-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-starlight-select-2021.webp,galaxydidong,99%,
971,iPhone ,13,15.450.000 đ ,,512GB,Hồng,https://galaxydidong.vn/san-pham/iphone-13-512gb-quoc-te-likenew-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-select-2021.webp,galaxydidong,99%,
972,iPhone ,13,15.450.000 đ ,,512GB,Trắng,https://galaxydidong.vn/san-pham/iphone-13-512gb-quoc-te-likenew-99/,https://galaxydidong.vn/wp-content/uploads/2021/10/iphone-13-midnight-select-2021-8226.webp,galaxydidong,99%,
973,Samsung ,Galaxy S22 Ultra 5G,14.250.000 đ ,12GB,512GB,,https://galaxydidong.vn/san-pham/samsung-galaxy-s22-ultra-5g-ram-12gb-512gbgb/,https://galaxydidong.vn/wp-content/uploads/2022/07/S22-ULTRA-GALAXYDIDONG-dong-1.webp,galaxydidong,,
974,Samsung ,Galaxy S23 5G,15.050.000 đ ,8GB,256GB,Kem ,https://galaxydidong.vn/san-pham/samsung-galaxy-s23-8gb-256-gb/,https://galaxydidong.vn/wp-content/uploads/2023/03/galaxydidong-galaxy-s23-xanh.webp,galaxydidong,,
975,Samsung ,Galaxy S22 Plus 5G 2 Sim,9.750.000 đ ,8GB,128GB,,https://galaxydidong.vn/san-pham/samsung-galaxy-s22-plus-5g-ram-8gb-128gb/,https://galaxydidong.vn/wp-content/uploads/2022/07/Galaxy-S22-Plus-Pink-600x600-galaxydidong-1.webp,galaxydidong,,
